term,rho,pval,n_papers,ui,disease_term
D000067531:Alarmins,-0.38386221923190494,0.09474747909652463,20,D000067531,False
D000067552:Mutation Accumulation,-0.5,0.6666666666666667,3,D000067552,False
D000067556:Internal Ribosome Entry Sites,0.011003046000350533,0.9408320747051513,48,D000067556,False
D000067558:Biological Mimicry,0.41576092031014994,0.3056237929388552,8,D000067558,False
D000067562:Late Onset Disorders,-0.4707919090691997,0.34598647783417236,6,D000067562,True
D000067565:Farmers,-0.3676470588235294,0.4733758014451455,6,D000067565,False
D000067572:Miners,-0.7826237921249264,0.11761376087345808,5,D000067572,False
D000067576:Child Health,0.5,0.6666666666666667,3,D000067576,False
D000067596:Interleukin-33,0.16722174362984088,0.11517716020232345,90,D000067596,False
D000067616:S100A12 Protein,0.47304035757566565,0.10255606470263502,13,D000067616,False
D000067617:Telopodes,,,1,D000067617,False
D000067656:Optimism,,,1,D000067656,False
D000067657:Pessimism,-0.9999999999999999,,2,D000067657,False
D000067696:Ataxin-1,0.17573375583870185,0.6510838503222887,9,D000067696,False
D000067698:Ataxin-2,-0.07893174529652519,0.7408098839000052,20,D000067698,False
D000067699:Ataxin-3,-0.19930623758642646,0.33950585012314316,25,D000067699,False
D000067716:Point-of-Care Testing,0.9999999999999999,,2,D000067716,False
D000067719:Ataxin-7,-0.6,0.28475697986529375,5,D000067719,False
D000067736:Ataxin-10,0.9999999999999999,,2,D000067736,False
D000067757:Glucagon-Like Peptide-1 Receptor,0.08892248230625176,0.709291805990667,20,D000067757,False
D000067758:Glucagon-Like Peptide-2 Receptor,0.9999999999999999,,2,D000067758,False
D000067759:Receptor for Advanced Glycation End Products,0.21443551303295574,0.11945253562054392,54,D000067759,False
D000067776:RNA Recognition Motif Proteins,0.2429870056477355,0.18779145148389464,31,D000067776,False
D000067777:ELAV-Like Protein 2,,,1,D000067777,False
D000067779:ELAV-Like Protein 4,-0.35909242322980395,0.5528147466433505,5,D000067779,False
D000067780:ELAV-Like Protein 1,-0.31297563771942205,0.00025833574736105596,132,D000067780,False
D000067816:Whey Proteins,-0.8944271909999159,0.10557280900008413,4,D000067816,False
D000067856:Poly(ADP-ribose) Polymerase Inhibitors,-0.08131536891179132,0.4705036476418206,81,D000067856,False
D000067877:Autism Spectrum Disorder,0.06414577067985747,0.39094872697083094,181,D000067877,False
D000067878:CELF Proteins,0.6179143806533246,0.19109390169019305,6,D000067878,False
D000067879:CELF1 Protein,-0.6,0.06668799999999996,10,D000067879,False
D000067896:Industrial Development,,,1,D000067896,False
D000067940:Glycemic Load,,,1,D000067940,False
D000067956:Adenylyl Cyclase Inhibitors,-0.5085476277156078,0.1621088989410882,9,D000067956,False
D000067996:RAW 264.7 Cells,0.09829928826789766,0.1354946249963896,232,D000067996,False
D000068016:Clostridiales,0.39999999999999997,0.6,4,D000068016,False
D000068079:Motor Disorders,-0.5217939320872036,0.28834323380039373,6,D000068079,False
D000068097:Maternal Health,,,1,D000068097,False
D000068101:Maternal-Child Health Services,,,1,D000068101,False
D000068103:Serine-Arginine Splicing Factors,-0.10457977269294957,0.3004391582304913,100,D000068103,False
D000068105:Bipolar and Related Disorders,,,1,D000068105,False
D000068116:Gender Dysphoria,0.5,0.6666666666666667,3,D000068116,False
D000068156:Formative Feedback,0.9999999999999999,,2,D000068156,False
D000068180:Aripiprazole,-0.21081851067789195,0.7891814893221081,4,D000068180,False
D000068238:Lubiprostone,,,1,D000068238,False
D000068256:Darbepoetin alfa,-0.9999999999999999,,2,D000068256,False
D000068258:Bevacizumab,-0.01902707411196156,0.8644349438232293,83,D000068258,False
D000068296:Risedronic Acid,0.9999999999999999,,2,D000068296,False
D000068297:Fluticasone-Salmeterol Drug Combination,-0.9999999999999999,,2,D000068297,False
D000068298:Fluticasone,-0.34235623582431246,0.45225122159090586,7,D000068298,False
D000068299:Salmeterol Xinafoate,0.15389675281277312,0.8048288166080632,5,D000068299,False
D000068338:Everolimus,0.019996248008837085,0.9025274198206212,40,D000068338,False
D000068356:Self-Control,-0.13502229898075407,0.7290795544156989,9,D000068356,False
D000068437:Pemetrexed,-0.21242845761127696,0.18817704949198044,40,D000068437,False
D000068476:Beijing,0.09379580992210836,0.7966172454147068,10,D000068476,False
D000068536:Firmicutes,,,1,D000068536,False
D000068538:Dutasteride,-0.8660254037844387,0.3333333333333332,3,D000068538,False
D000068556:Interferon beta-1a,-0.36037498507822363,0.42714880856090626,7,D000068556,False
D000068576:Interferon beta-1b,-0.5,0.6666666666666667,3,D000068576,False
D000068577:Nebivolol,0.2581988897471611,0.7418011102528389,4,D000068577,False
D000068579:Celecoxib,-0.1669373261153029,0.4695208747278834,21,D000068579,False
D000068580:Varenicline,0.9999999999999999,,2,D000068580,False
D000068581:Tadalafil,0.0,1.0,3,D000068581,False
D000068582:Certolizumab Pegol,1.0,0.0,3,D000068582,False
D000068617:Genetic Background,1.0,0.0,3,D000068617,False
D000068677:Sildenafil Citrate,-0.04100238428203847,0.9047248643018937,11,D000068677,False
D000068698:Tenofovir,-0.7999999999999999,0.20000000000000007,4,D000068698,False
D000068717:Glatiramer Acetate,0.6000991981489792,0.15429103966044003,7,D000068717,False
D000068718:Rosuvastatin Calcium,-0.39239737602299507,0.11925306985187872,17,D000068718,False
D000068736:Duloxetine Hydrochloride,-0.9999999999999999,,2,D000068736,False
D000068737:Tolterodine Tartrate,-0.316227766016838,0.683772233983162,4,D000068737,False
D000068756:Valsartan,-0.05591788172164829,0.8780613891997648,10,D000068756,False
D000068759:Formoterol Fumarate,0.8660254037844387,0.3333333333333332,3,D000068759,False
D000068760:Serotonin and Noradrenaline Reuptake Inhibitors,-0.8720815992723809,0.05385421772754211,5,D000068760,False
D000068796:Orexin Receptor Antagonists,-0.9999999999999999,,2,D000068796,False
D000068797:Orexins,-0.36963718737166845,0.19333817842977233,14,D000068797,False
D000068799:Prasugrel Hydrochloride,-0.15179418517972906,0.7740575031656567,6,D000068799,False
D000068800:Etanercept,-0.05915664031390179,0.7937057825251366,22,D000068800,False
D000068816:Adapalene,-0.9999999999999999,,2,D000068816,False
D000068817:Epoetin Alfa,-0.9999999999999999,,2,D000068817,False
D000068818:Cetuximab,0.08709236614643384,0.43084128898191754,84,D000068818,False
D000068836:Rivastigmine,0.10910894511799621,0.8158714843641036,7,D000068836,False
"D000068857:Human Papillomavirus Recombinant Vaccine Quadrivalent, Types 6, 11, 16, 18",,,2,D000068857,False
D000068876:Fingolimod Hydrochloride,0.018109816706343936,0.9362448145115749,22,D000068876,False
D000068877:Imatinib Mesylate,-0.023307826773174226,0.7876670442177405,136,D000068877,False
D000068878:Trastuzumab,-0.11936749851762164,0.24670722727127198,96,D000068878,False
D000068879:Adalimumab,-0.33192268306238776,0.07313971174810589,30,D000068879,False
"D000068880:Isophane Insulin, Human",,,1,D000068880,False
D000068882:Paliperidone Palmitate,-0.9999999999999999,,2,D000068882,False
D000068884:Immunosenescence,0.09999999999999999,0.8728885715695383,5,D000068884,False
D000068896:Canagliflozin,-0.5,0.6666666666666667,3,D000068896,False
D000068898:Raltegravir Potassium,0.5,0.6666666666666667,3,D000068898,False
D000068900:Sitagliptin Phosphate,-0.4885000110592909,0.12735273341568443,11,D000068900,False
D000068936:Theranostic Nanomedicine,0.9999999999999999,,2,D000068936,False
"D000068957:Games, Recreational",,,1,D000068957,False
D000068958:Return to Sport,,,1,D000068958,False
D000068959:Body Weight Maintenance,0.9999999999999999,,2,D000068959,False
D000069036:Insulin Glargine,0.9999999999999999,,2,D000069036,False
D000069057:Insulin Detemir,,,2,D000069057,False
D000069058:Vardenafil Dihydrochloride,,,1,D000069058,False
D000069059:Atorvastatin,-0.07789326935246177,0.6770419879792297,31,D000069059,False
"D000069076:Fractures, Multiple",,,1,D000069076,True
D000069077:Memory Consolidation,-0.5,0.6666666666666667,3,D000069077,False
D000069078:Seroconversion,-0.5,0.6666666666666667,3,D000069078,False
D000069079:Radiation Exposure,0.30986683868975945,0.3270050102150108,12,D000069079,False
D000069196:Gastrointestinal Microbiome,0.01735804165326648,0.899903459485322,55,D000069196,False
D000069236:Pericardial Fluid,0.9999999999999999,,2,D000069236,False
D000069258:Thoracentesis,,,1,D000069258,False
D000069261:Podosomes,0.13235804731275358,0.24491188626090393,79,D000069261,False
D000069279:Drug Resistant Epilepsy,-0.0019279858926122158,0.9896235002365039,48,D000069279,True
D000069283:Rituximab,-0.015244981301408592,0.9095695798533969,58,D000069283,False
D000069284:Protein Translocation Systems,-0.7247137945655605,0.10324280462370763,6,D000069284,False
D000069285:Infliximab,-0.1517720582000176,0.468929875935282,25,D000069285,False
D000069286:Bortezomib,0.02979946863439326,0.7374462859247748,129,D000069286,False
D000069287:Capecitabine,-0.2375378162791718,0.16943693635078313,35,D000069287,False
D000069292:Pyroptosis,-0.11957746689726408,0.4623784442441806,40,D000069292,False
D000069293:Plasmablastic Lymphoma,,,1,D000069293,True
D000069295:Mammary Analogue Secretory Carcinoma,0.0909090909090909,0.8640120210368144,6,D000069295,True
D000069296:Type III Secretion Systems,-0.042683720332337284,0.9067992878615369,10,D000069296,False
D000069319:Type IV Secretion Systems,-0.7064517492894148,0.0759805219959838,7,D000069319,False
D000069322:Self Expandable Metallic Stents,,,1,D000069322,False
D000069337:Fused Kidney,,,1,D000069337,True
D000069338:Neuropathology,-0.9746794344808963,0.004818230468198566,5,D000069338,False
D000069342:Medical Overuse,,,1,D000069342,False
D000069343:Bone-Implant Interface,,,1,D000069343,False
D000069347:Erlotinib Hydrochloride,-0.024920839886828448,0.8208965188056487,85,D000069347,False
D000069348:Quetiapine Fumarate,-0.6668859288553503,0.21889398131323154,5,D000069348,False
D000069349:Linezolid,,,1,D000069349,False
D000069376:Type VI Secretion Systems,,,1,D000069376,False
D000069396:Mitochondrial Ribosomes,0.7356123579206245,0.09561078073827967,6,D000069396,False
D000069416:Intravital Microscopy,0.49123109407575277,0.10484315847730573,12,D000069416,False
D000069438:Ezetimibe,-0.393946629021976,0.3342146351781059,8,D000069438,False
D000069439:Dasatinib,0.14915065633093402,0.22834719671585882,67,D000069439,False
D000069442:Natalizumab,0.08536744066467457,0.8146136789854659,10,D000069442,False
D000069444:Omalizumab,0.5,0.6666666666666667,3,D000069444,False
D000069445:Atomoxetine Hydrochloride,-0.9999999999999999,,2,D000069445,False
D000069446:Atazanavir Sulfate,0.5,0.6666666666666667,3,D000069446,False
D000069447:Tiotropium Bromide,,,1,D000069447,False
D000069448:Denosumab,1.0,0.0,3,D000069448,False
D000069449:Cinacalcet,0.19999999999999998,0.8,4,D000069449,False
D000069450:Liraglutide,-0.6261467889908258,0.03930264261040003,11,D000069450,False
D000069452:Pathogen-Associated Molecular Pattern Molecules,-0.32495983010369317,0.23728679490380028,15,D000069452,False
D000069453:Ultrasonic Waves,-0.19999999999999998,0.8,4,D000069453,False
D000069456:Silent Mutation,0.04488395443421177,0.8738008002564283,15,D000069456,False
D000069458:Ranolazine,,,1,D000069458,False
D000069461:Bendamustine Hydrochloride,-0.19162020190612145,0.6494102011224531,8,D000069461,False
D000069462:Dimethyl Fumarate,0.3931028552757833,0.11853146182681841,17,D000069462,False
D000069463:Olive Oil,-0.4546206046583175,0.3054311510612491,7,D000069463,False
D000069465:Febuxostat,-0.9999999999999999,,2,D000069465,False
D000069466:Red Meat,-0.9999999999999999,,2,D000069466,False
D000069467:Fecal Microbiota Transplantation,,,1,D000069467,False
D000069470:Venlafaxine Hydrochloride,0.8999999999999998,0.03738607346849874,5,D000069470,False
D000069474:Sofosbuvir,0.5642880936468347,0.32172333582430024,5,D000069474,False
D000069476:Linagliptin,-0.8660254037844387,0.3333333333333332,3,D000069476,False
"D000069479:Buprenorphine, Naloxone Drug Combination",,,1,D000069479,False
D000069501:Abiraterone Acetate,0.9999999999999999,1.4042654220543672e-24,5,D000069501,False
D000069544:Infectious Encephalitis,,,2,D000069544,True
D000069547:Cobicistat,,,1,D000069547,False
D000069549:Ustekinumab,0.051298917604257706,0.9347128481082341,5,D000069549,False
D000069550:Machine Learning,0.3340868638726197,0.2059903014674774,16,D000069550,False
D000069552:Rivaroxaban,0.8451542547285165,0.034109423167409676,6,D000069552,False
D000069553:Supervised Machine Learning,,,1,D000069553,False
"D000069555:Injection, Intratympanic",,,1,D000069555,False
D000069579:Ranibizumab,0.10878756313824399,0.7805538526280621,9,D000069579,False
D000069581:Exposure to Violence,-0.39999999999999997,0.6,4,D000069581,False
D000069583:Pregabalin,0.8660254037844387,0.3333333333333332,3,D000069583,False
D000069584:Unilateral Breast Neoplasms,,,2,D000069584,True
D000069585:Filgrastim,-0.6155870112510925,0.26899777011582215,5,D000069585,False
D000069586:Adult Survivors of Child Adverse Events,-0.32707681510501924,0.2536789479169376,14,D000069586,False
D000069590:Round Ligaments,,,1,D000069590,False
D000069594:Abatacept,-0.316227766016838,0.683772233983162,4,D000069594,False
D000069604:Dabigatran,-0.15389675281277312,0.8048288166080632,5,D000069604,False
D000069616:Simeprevir,-0.5,0.6666666666666667,3,D000069616,False
"D000069796:Adipose Tissue, Beige",0.10540925533894598,0.894590744661054,4,D000069796,False
"D000069797:Adipocytes, Beige",0.24825192539746968,0.43656533751671944,12,D000069797,False
D000069816:SEC Translocation Channels,-0.04598004898717029,0.8932124414296368,11,D000069816,False
D000069896:Transcription Activator-Like Effector Nucleases,0.23487978466727835,0.3481482303293767,18,D000069896,False
D000069916:Endoscopic Mucosal Resection,0.6708203932499368,0.21516994256955005,5,D000069916,False
D000069985:Bifidobacterium bifidum,,,2,D000069985,False
D000070016:Pediococcus acidilactici,,,1,D000070016,False
D000070037:Faecalibacterium prausnitzii,0.35355339059327373,0.5594043441634878,5,D000070037,False
D000070077:Bacteroides thetaiotaomicron,,,1,D000070077,False
D000070136:Lipid Droplet Associated Proteins,0.9999999999999999,,2,D000070136,False
D000070137:Perilipins,,,1,D000070137,False
D000070156:Nogo Receptors,-0.5,0.6666666666666667,3,D000070156,False
D000070379:Attentional Bias,,,1,D000070379,False
D000070416:Antagomirs,0.0455055343746835,0.36161683145129153,404,D000070416,False
D000070436:Tannerella forsythia,0.47434164902525683,0.41953112817892135,5,D000070436,False
D000070437:Colchicaceae,,,1,D000070437,False
D000070497:Healthy Lifestyle,0.28917761562712796,0.4872612723244324,8,D000070497,False
D000070516:Intersectoral Collaboration,,,1,D000070516,False
D000070538:C2 Domains,-0.5,0.6666666666666667,3,D000070538,False
D000070539:Pleckstrin Homology Domains,-0.2004561009344103,0.5545252303435375,11,D000070539,False
D000070557:Immunoglobulin Domains,-0.40361445783132527,0.32139456387898824,8,D000070557,False
D000070576:NLR Proteins,-0.20519567041703085,0.7405819415910722,5,D000070576,False
D000070579:Parkinson Disease Associated Proteins,,,1,D000070579,False
D000070580:CYS2-HIS2 Zinc Fingers,-0.9999999999999999,,2,D000070580,False
D000070584:Tripartite Motif Proteins,-0.13154108180225713,0.1574474369361088,117,D000070584,False
D000070585:Cadherin Related Proteins,,,5,D000070585,False
D000070590:Solute Carrier Proteins,-0.316227766016838,0.683772233983162,4,D000070590,False
D000070593:Methyl CpG Binding Domain,,,1,D000070593,False
D000070598:Anterior Cruciate Ligament Injuries,0.7999999999999999,0.20000000000000007,4,D000070598,True
D000070600:Tibial Meniscus Injuries,0.9999999999999999,,2,D000070600,True
"D000070601:Diet, Carbohydrate Loading",-0.5,0.6666666666666667,3,D000070601,False
D000070614:Nucleus Pulposus,-0.06618219328144612,0.5753136712617182,74,D000070614,False
D000070616:Annulus Fibrosus,-0.21251185925162072,0.6860308660088958,6,D000070616,False
"D000070625:Brain Injuries, Diffuse",,,1,D000070625,True
D000070627:Chronic Traumatic Encephalopathy,0.0,1.0,3,D000070627,True
D000070636:Rotator Cuff Injuries,0.11866111313364182,0.7610840665317585,9,D000070636,True
"D000070642:Brain Injuries, Traumatic",-0.1373002173375255,0.33666697347766394,51,D000070642,True
D000070696:Buttermilk,,,2,D000070696,False
D000070777:School Teachers,,,1,D000070777,False
D000070778:Perilipin-1,-0.22865853658536586,0.5251515700658977,10,D000070778,False
D000070779:Giant Cell Tumor of Tendon Sheath,-0.9999999999999999,,2,D000070779,True
D000070780:Perilipin-2,0.5928182543734621,0.032740787474059875,13,D000070780,False
D000070796:Perilipin-3,-0.8660254037844387,0.3333333333333332,3,D000070796,False
D000070797:Perilipin-5,-0.5,0.6666666666666667,3,D000070797,False
D000070798:Nogo Proteins,-0.3280550835900096,0.29786497389415095,12,D000070798,False
D000070816:Nogo Receptor 1,-1.0,0.0,3,D000070816,False
D000070818:Discoidin Domain Receptors,0.6443798763008685,0.04431151432143616,10,D000070818,False
D000070819:Discoidin Domain Receptor 1,0.3031648273254719,0.12424801049059975,27,D000070819,False
D000070820:Discoidin Domain Receptor 2,0.20814796774305988,0.5638959570807087,10,D000070820,False
D000070837:Lysine Acetyltransferases,,,1,D000070837,False
D000070857:Walk Test,0.5155052695060838,0.0713773801225296,13,D000070857,False
D000070876:Tensins,-0.2571428571428571,0.3748119038799703,14,D000070876,False
D000070916:Tenocytes,-0.20519567041703085,0.7405819415910722,5,D000070916,False
D000070918:Synoviocytes,0.06303650897440329,0.5014306221220217,116,D000070918,False
D000070956:MutL Proteins,,,1,D000070956,False
D000070957:MutL Protein Homolog 1,-0.17016029593094947,0.3775093435793524,29,D000070957,False
D000070976:Mismatch Repair Endonuclease PMS2,-0.4024390243902439,0.2489207310225233,10,D000070976,False
"D000070996:ATP Binding Cassette Transporter, Subfamily G",0.0,1.0,5,D000070996,False
"D000070997:ATP Binding Cassette Transporter, Subfamily G, Member 2",0.2266074392219448,0.037024298787199324,85,D000070997,False
"D000070998:ATP Binding Cassette Transporter, Subfamily G, Member 1",-0.253815877309111,0.2543701964211594,22,D000070998,False
D000070:Acebutolol,,,1,D000070,False
D000071017:Hyperekplexia,-0.9999999999999999,,2,D000071017,True
"D000071018:ATP Binding Cassette Transporter, Subfamily G, Member 5",0.4076871241636057,0.3639424835919461,7,D000071018,False
"D000071019:ATP Binding Cassette Transporter, Subfamily G, Member 8",,,1,D000071019,False
D000071020:Hemochromatosis Protein,-0.10193463298246631,0.7525882976022029,12,D000071020,False
D000071036:Sentinel Lymph Node,0.27354424197935234,0.4763288519457174,9,D000071036,False
D000071038:Grid Cells,,,2,D000071038,False
D000071040:Axon Initial Segment,0.7999999999999999,0.20000000000000007,4,D000071040,False
D000071041:Esophageal Mucosa,-0.6890999615891347,0.040049949551004334,9,D000071041,False
D000071056:Anorectal Malformations,0.09999999999999999,0.8728885715695383,5,D000071056,True
D000071057:Tardive Dyskinesia,0.3,0.6238376647810728,5,D000071057,True
D000071058:Huntingtin Protein,-0.22572591211265003,0.0752722553550258,63,D000071058,False
D000071060:Breast Density,-0.015452689236481243,0.958185730270463,14,D000071060,False
D000071063:Endoglin,-0.2696454878774462,0.06097701858023067,49,D000071063,False
D000071066:Patient Reported Outcome Measures,0.9999999999999999,,2,D000071066,False
"D000071067:Pneumonia, Necrotizing",,,1,D000071067,True
D000071068:Lipocalin-2,0.16068379537419597,0.2282263031090327,58,D000071068,False
D000071069:Multiple Chronic Conditions,0.9999999999999999,,2,D000071069,True
D000071074:Neonatal Sepsis,-0.5365953413208115,0.10978950392207794,10,D000071074,True
D000071075:Small Fiber Neuropathy,0.1454785934906616,0.7556330131047917,7,D000071075,True
"D000071079:Stenosis, Pulmonary Artery",,,1,D000071079,True
D000071080:Cortical Excitability,-1.0,0.0,3,D000071080,False
D000071096:ADAMTS Proteins,0.40534552186420314,0.0550025109628557,23,D000071096,False
D000071097:ADAMTS1 Protein,-0.6197336773795189,0.03160240696084901,12,D000071097,False
D000071116:ADAMTS5 Protein,0.20682411693883557,0.38162598136040704,20,D000071116,False
D000071118:ADAMTS7 Protein,-0.8944271909999159,0.10557280900008413,4,D000071118,False
D000071119:ADAMTS9 Protein,-0.1038459836320895,0.7126495554331775,15,D000071119,False
D000071120:ADAMTS13 Protein,-0.050114025233602574,0.8836652681267614,11,D000071120,False
D000071121:ADAMTS4 Protein,0.03829164682931409,0.8880338394958089,16,D000071121,False
D000071137:Poly (ADP-Ribose) Polymerase-1,-0.11162167226515535,0.1599499692260606,160,D000071137,False
D000071156:Promyelocytic Leukemia Protein,-0.010278894712066108,0.947840628670924,43,D000071156,False
D000071158:Leucine-Rich Repeat Serine-Threonine Protein Kinase-2,0.0043124613848694775,0.9757944840074695,52,D000071158,False
D000071161:Forkhead Box Protein O1,-0.10163539382055214,0.1925876441897649,166,D000071161,False
D000071162:Trefoil Factors,,,1,D000071162,False
D000071163:Trefoil Factor-1,-0.10510143349671348,0.688087682464156,17,D000071163,False
D000071164:Trefoil Factor-2,-0.39999999999999997,0.6,4,D000071164,False
D000071165:Trefoil Factor-3,0.4207582535691949,0.17318625418554837,12,D000071165,False
D000071176:Signaling Lymphocytic Activation Molecule Family,0.06562704439332633,0.777460390311595,21,D000071176,False
D000071177:Signaling Lymphocytic Activation Molecule Family Member 1,0.3571428571428572,0.4316113520383278,7,D000071177,False
D000071178:CD48 Antigen,0.8660254037844387,0.3333333333333332,3,D000071178,False
D000071179:Signaling Lymphocytic Activation Molecule Associated Protein,-0.12309149097933272,0.734780145679172,10,D000071179,False
"D000071181:ATP Binding Cassette Transporter, Subfamily B, Member 2",0.4170552616595197,0.2640948271671878,9,D000071181,False
D000071182:Autophagosomes,-0.12955831747471164,0.13132083664330202,137,D000071182,False
D000071183:Autophagy-Related Proteins,-0.11472201291845109,0.12729948464333277,178,D000071183,False
D000071184:Pharmacogenomic Variants,-0.15050858110454993,0.08865743919391038,129,D000071184,False
D000071185:Pharmacogenomic Testing,-0.1178363298586139,0.3740814135864471,59,D000071185,False
D000071186:Beclin-1,-0.03638822336796589,0.62867633848985,179,D000071186,False
D000071187:Autophagy-Related Protein 5,0.007110314723686688,0.9457732691638608,94,D000071187,False
D000071189:Autophagy-Related Protein-1 Homolog,-0.18872370637795013,0.08001397093130358,87,D000071189,False
D000071190:Autophagy-Related Protein 8 Family,-0.21463520412736545,0.3374549353173357,22,D000071190,False
D000071192:Autophagy-Related Protein 12,0.09792861056794627,0.6812628809849701,20,D000071192,False
D000071193:Autophagy-Related Protein 7,-0.1941903526578127,0.15542157866497852,55,D000071193,False
D000071196:Pyrin Domain,-0.37977726265637496,0.31338373947087655,9,D000071196,False
D000071197:B30.2-SPRY Domain,-0.5091750772173156,0.19747302644349035,8,D000071197,False
D000071198:Pyrin,-0.2631207915077022,0.3248186985445344,16,D000071198,False
"D000071199:NLR Family, Pyrin Domain-Containing 3 Protein",-0.1523945819772467,0.08108386068491605,132,D000071199,False
D000071219:Global Burden of Disease,,,1,D000071219,False
D000071221:Enhancer of Zeste Homolog 2 Protein,-0.08242661478186021,0.14831295318833237,309,D000071221,False
