term,citation_percentile_all,citation_percentile_intro,n_pubs_all,n_pubs_intro,ui,disease_term
D000067940:Glycemic Load,0.7881498356737376,0.7881498356737376,1,1.0,D000067940,False
D000067956:Adenylyl Cyclase Inhibitors,0.44497157698776757,0.6420429723182016,10,7.0,D000067956,False
D000067996:RAW 264.7 Cells,0.6420429723182016,0.6422981083073035,198,176.0,D000067996,False
D000068016:Clostridiales,0.9547735079691673,0.9547735079691673,4,4.0,D000068016,False
D000068079:Motor Disorders,0.5826393038541978,0.5826393038541978,5,5.0,D000068079,False
D000068097:Maternal Health,0.21808422517477882,0.21808422517477882,1,1.0,D000068097,False
D000068101:Maternal-Child Health Services,0.24187705407827906,0.24187705407827906,1,1.0,D000068101,False
D000068103:Serine-Arginine Splicing Factors,0.6051438967912669,0.6296715516899003,149,82.0,D000068103,False
D000068105:Bipolar and Related Disorders,0.017974884861336603,0.017974884861336603,1,1.0,D000068105,False
D000068116:Gender Dysphoria,0.363273080370481,0.363273080370481,3,3.0,D000068116,False
D000068156:Formative Feedback,0.4059037292982247,0.4059037292982247,2,2.0,D000068156,False
D000068180:Aripiprazole,0.7169640017206146,0.516043665233212,9,4.0,D000068180,False
D000068238:Lubiprostone,0.1582573946818046,0.1582573946818046,1,1.0,D000068238,False
D000068256:Darbepoetin alfa,0.427827107374679,0.427827107374679,2,2.0,D000068256,False
D000068258:Bevacizumab,0.6211214025802183,0.6776217508216313,142,68.0,D000068258,False
D000068296:Risedronic Acid,0.22049288785974197,0.22049288785974197,2,2.0,D000068296,False
D000068297:Fluticasone-Salmeterol Drug Combination,0.24710082502236505,0.24710082502236505,2,2.0,D000068297,False
D000068298:Fluticasone,0.5577462617406899,0.581563892885972,7,6.0,D000068298,False
D000068299:Salmeterol Xinafoate,0.3411180946080053,0.31223949718822364,6,4.0,D000068299,False
D000068338:Everolimus,0.5582968189570435,0.5772795229463444,66,34.0,D000068338,False
D000068356:Self-Control,0.24822272528694547,0.24822272528694547,7,7.0,D000068356,False
D000068437:Pemetrexed,0.3593644031691313,0.5338022983025019,62,30.0,D000068437,False
D000068476:Beijing,0.43739621072670387,0.43739621072670387,7,7.0,D000068476,False
D000068536:Firmicutes,0.9899910367493278,0.9899910367493278,1,1.0,D000068536,False
D000068538:Dutasteride,0.24187705407827906,0.24187705407827906,2,2.0,D000068538,False
D000068556:Interferon beta-1a,0.6422981083073035,0.6708690898247242,7,6.0,D000068556,False
D000068576:Interferon beta-1b,0.363273080370481,0.363273080370481,4,4.0,D000068576,False
D000068577:Nebivolol,0.28574096205557215,0.28574096205557215,2,2.0,D000068577,False
D000068579:Celecoxib,0.6596579025993426,0.5759262025694651,35,20.0,D000068579,False
D000068580:Varenicline,0.08386241410218105,0.06741111443083359,3,2.0,D000068580,False
D000068581:Tadalafil,0.17369178394693432,0.17369178394693432,3,2.0,D000068581,False
D000068582:Certolizumab Pegol,0.363273080370481,0.363273080370481,3,3.0,D000068582,False
D000068617:Genetic Background,0.24822272528694547,0.24822272528694547,3,3.0,D000068617,False
D000068677:Sildenafil Citrate,0.25117433013562684,0.7584669918927456,16,10.0,D000068677,False
D000068698:Tenofovir,0.5678141977730855,0.2638090080669256,7,4.0,D000068698,False
D000068717:Glatiramer Acetate,0.4960599043919928,0.4960599043919928,8,6.0,D000068717,False
D000068718:Rosuvastatin Calcium,0.32071034991050434,0.3264677322975799,30,17.0,D000068718,False
D000068736:Duloxetine Hydrochloride,0.5272115345820911,0.5272115345820911,2,2.0,D000068736,False
D000068737:Tolterodine Tartrate,0.1582573946818046,0.1582573946818046,4,3.0,D000068737,False
D000068756:Valsartan,0.3472714621781916,0.3472714621781916,6,6.0,D000068756,False
D000068759:Formoterol Fumarate,0.6422915079023227,0.6422915079023227,2,2.0,D000068759,False
D000068760:Serotonin and Noradrenaline Reuptake Inhibitors,0.24187705407827906,0.24187705407827906,5,5.0,D000068760,False
D000068796:Orexin Receptor Antagonists,0.30068969722930033,0.30068969722930033,2,2.0,D000068796,False
D000068797:Orexins,0.4623604254332196,0.5673955080368115,36,13.0,D000068797,False
D000068799:Prasugrel Hydrochloride,0.4449553423751241,0.13756537592980192,15,4.0,D000068799,False
D000068800:Etanercept,0.5325504465762487,0.5695362636933373,32,17.0,D000068800,False
D000068816:Adapalene,0.4255383418149836,0.4255383418149836,2,2.0,D000068816,False
D000068817:Epoetin Alfa,0.049421104862719153,0.04614564175154348,4,2.0,D000068817,False
D000068818:Cetuximab,0.6840727610085816,0.7372918759511569,157,69.0,D000068818,False
D000068836:Rivastigmine,0.4258340874759554,0.4067128325767867,6,5.0,D000068836,False
"D000068857:Human Papillomavirus Recombinant Vaccine Quadrivalent, Types 6, 11, 16, 18",0.7101984692356118,0.7101984692356118,1,1.0,D000068857,False
D000068876:Fingolimod Hydrochloride,0.571759723611748,0.5659939041283013,26,18.0,D000068876,False
D000068877:Imatinib Mesylate,0.4914654316903738,0.4449553423751241,237,115.0,D000068877,False
D000068878:Trastuzumab,0.6776217508216313,0.7320314383641154,235,81.0,D000068878,False
D000068879:Adalimumab,0.4067128325767867,0.29854946817435957,39,26.0,D000068879,False
"D000068880:Isophane Insulin, Human",0.024518225276366896,0.024518225276366896,1,1.0,D000068880,False
D000068882:Paliperidone Palmitate,0.28574096205557215,0.15007359052166633,3,2.0,D000068882,False
D000068884:Immunosenescence,0.8788834064868836,0.8788834064868836,7,7.0,D000068884,False
D000068896:Canagliflozin,0.4962266765681874,0.7401091630830301,6,3.0,D000068896,False
D000068898:Raltegravir Potassium,0.3554557259677816,0.3554557259677816,5,3.0,D000068898,False
D000068900:Sitagliptin Phosphate,0.70733162531148,0.70733162531148,17,8.0,D000068900,False
D000068936:Theranostic Nanomedicine,0.7595565939011999,0.7595565939011999,2,2.0,D000068936,False
"D000068957:Games, Recreational",0.2962587870844752,0.2962587870844752,1,1.0,D000068957,False
D000068958:Return to Sport,0.897536236970484,0.897536236970484,1,1.0,D000068958,False
D000068959:Body Weight Maintenance,0.500391833812535,0.500391833812535,2,2.0,D000068959,False
D000069036:Insulin Glargine,0.050959814759486105,0.13565192193482078,3,2.0,D000069036,False
D000069057:Insulin Detemir,0.050959814759486105,0.050959814759486105,1,1.0,D000069057,False
D000069058:Vardenafil Dihydrochloride,0.3166230409860508,0.3166230409860508,1,1.0,D000069058,False
D000069059:Atorvastatin,0.3771743812332262,0.36999669202778696,58,28.0,D000069059,False
"D000069076:Fractures, Multiple",0.24187705407827906,0.24187705407827906,1,1.0,D000069076,True
D000069077:Memory Consolidation,0.42745939076214307,0.42745939076214307,3,3.0,D000069077,False
D000069078:Seroconversion,0.3554557259677816,0.3554557259677816,3,3.0,D000069078,False
D000069079:Radiation Exposure,0.06826858575831524,0.06826858575831524,10,10.0,D000069079,False
D000069196:Gastrointestinal Microbiome,0.7796179355812384,0.7796179355812384,53,46.0,D000069196,False
D000069236:Pericardial Fluid,0.08447397649607452,0.08447397649607452,2,2.0,D000069236,False
D000069258:Thoracentesis,0.2523441900533448,0.2523441900533448,1,1.0,D000069258,False
D000069261:Podosomes,0.6774115843568727,0.6601972414277191,57,54.0,D000069261,False
D000069279:Drug Resistant Epilepsy,0.3887797002772611,0.3887797002772611,47,42.0,D000069279,True
D000069283:Rituximab,0.42087330466424083,0.4884776154722683,93,50.0,D000069283,False
D000069284:Protein Translocation Systems,0.4932920345171817,0.4932920345171817,5,5.0,D000069284,False
D000069285:Infliximab,0.4654672544580801,0.3166230409860508,50,23.0,D000069285,False
D000069286:Bortezomib,0.6120996757750703,0.5880582203109493,148,101.0,D000069286,False
D000069287:Capecitabine,0.6677465827915667,0.6596579025993426,42,27.0,D000069287,False
D000069292:Pyroptosis,0.9276200154132741,0.8999943979683298,45,31.0,D000069292,False
D000069293:Plasmablastic Lymphoma,0.8705557215416792,0.8705557215416792,2,2.0,D000069293,True
D000069295:Mammary Analogue Secretory Carcinoma,0.9551819745200576,0.9551819745200576,5,5.0,D000069295,True
D000069296:Type III Secretion Systems,0.4814340364300004,0.4750620397168196,9,8.0,D000069296,False
D000069319:Type IV Secretion Systems,0.9363878847436212,0.9363878847436212,5,5.0,D000069319,False
D000069322:Self Expandable Metallic Stents,0.1198274574245593,0.1198274574245593,2,2.0,D000069322,False
D000069337:Fused Kidney,0.363273080370481,0.363273080370481,1,1.0,D000069337,True
D000069338:Neuropathology,0.6973592657632285,0.6973592657632285,4,4.0,D000069338,False
D000069342:Medical Overuse,0.4355057817832411,0.4355057817832411,1,1.0,D000069342,False
D000069343:Bone-Implant Interface,0.4067128325767867,0.4067128325767867,1,1.0,D000069343,False
D000069347:Erlotinib Hydrochloride,0.6596579025993426,0.7492557062520675,186,71.0,D000069347,False
D000069348:Quetiapine Fumarate,0.3360393834769162,0.3554557259677816,6,5.0,D000069348,False
D000069349:Linezolid,0.34161404344890584,0.34161404344890584,1,1.0,D000069349,False
D000069376:Type VI Secretion Systems,0.4654672544580801,0.4654672544580801,1,1.0,D000069376,False
D000069396:Mitochondrial Ribosomes,0.2962587870844752,0.2962587870844752,7,7.0,D000069396,False
D000069416:Intravital Microscopy,0.698521949290644,0.698521949290644,10,10.0,D000069416,False
D000069438:Ezetimibe,0.45115367054712063,0.42087330466424083,13,6.0,D000069438,False
D000069439:Dasatinib,0.6211214025802183,0.5902140672782875,84,53.0,D000069439,False
D000069442:Natalizumab,0.6952308037048103,0.6855330333443006,10,9.0,D000069442,False
D000069444:Omalizumab,0.812166594877572,0.812166594877572,3,3.0,D000069444,False
D000069445:Atomoxetine Hydrochloride,0.5323881011954407,0.4766307029298408,3,2.0,D000069445,False
D000069446:Atazanavir Sulfate,0.31223949718822364,0.31223949718822364,5,3.0,D000069446,False
D000069447:Tiotropium Bromide,0.31223949718822364,0.31223949718822364,1,1.0,D000069447,False
D000069448:Denosumab,0.7733542838240159,0.9462078791292535,7,3.0,D000069448,False
D000069449:Cinacalcet,0.42745939076214307,0.6023706424978925,9,4.0,D000069449,False
D000069450:Liraglutide,0.8060916480846736,0.8562293975138012,19,9.0,D000069450,False
D000069452:Pathogen-Associated Molecular Pattern Molecules,0.5759262025694651,0.5759262025694651,9,9.0,D000069452,False
D000069453:Ultrasonic Waves,0.561757814051392,0.561757814051392,7,6.0,D000069453,False
D000069456:Silent Mutation,0.3853012430994082,0.3853012430994082,13,13.0,D000069456,False
D000069458:Ranolazine,0.8612050618975552,0.9340059543499835,2,1.0,D000069458,False
D000069461:Bendamustine Hydrochloride,0.39548075387551135,0.39548075387551135,7,7.0,D000069461,False
D000069462:Dimethyl Fumarate,0.791850351483379,0.7662139084157433,12,11.0,D000069462,False
D000069463:Olive Oil,0.5880582203109493,0.5880582203109493,5,5.0,D000069463,False
D000069465:Febuxostat,0.20186455014411753,0.20186455014411753,2,2.0,D000069465,False
D000069466:Red Meat,0.28827534418697465,0.28827534418697465,2,2.0,D000069466,False
D000069467:Fecal Microbiota Transplantation,0.9833790063147861,0.9833790063147861,1,1.0,D000069467,False
D000069468:Desvenlafaxine Succinate,0.10143896791266953,0.10143896791266953,4,1.0,D000069468,False
D000069470:Venlafaxine Hydrochloride,0.35050959873274234,0.43324245593068417,14,5.0,D000069470,False
D000069474:Sofosbuvir,0.7287369288398544,0.9066821038703274,4,4.0,D000069474,False
D000069476:Linagliptin,0.5666263191366037,0.7341452286526515,2,2.0,D000069476,False
"D000069479:Buprenorphine, Naloxone Drug Combination",0.6645220223201874,0.6645220223201874,1,1.0,D000069479,False
D000069501:Abiraterone Acetate,0.561757814051392,0.561757814051392,5,5.0,D000069501,False
D000069544:Infectious Encephalitis,0.28574096205557215,0.28574096205557215,1,1.0,D000069544,True
D000069547:Cobicistat,0.9814422758848825,0.9814422758848825,1,1.0,D000069547,False
D000069549:Ustekinumab,0.8463732635987358,0.8315655811174186,5,5.0,D000069549,False
D000069550:Machine Learning,0.6206304152972811,0.6206304152972811,15,15.0,D000069550,False
D000069552:Rivaroxaban,0.0952381943705115,0.07064893131646369,6,3.0,D000069552,False
D000069553:Supervised Machine Learning,0.32071034991050434,0.32071034991050434,1,1.0,D000069553,False
"D000069555:Injection, Intratympanic",0.3166230409860508,0.3166230409860508,1,1.0,D000069555,False
D000069579:Ranibizumab,0.46869004300363876,0.561757814051392,22,11.0,D000069579,False
D000069581:Exposure to Violence,0.5618660723686519,0.5618660723686519,4,4.0,D000069581,False
D000069583:Pregabalin,0.684876285793717,0.684876285793717,2,2.0,D000069583,False
D000069584:Unilateral Breast Neoplasms,0.03676153871641099,0.03676153871641099,1,1.0,D000069584,True
D000069585:Filgrastim,0.22034402911015546,0.22034402911015546,4,4.0,D000069585,False
D000069586:Adult Survivors of Child Adverse Events,0.5340960937774191,0.5340960937774191,19,12.0,D000069586,False
D000069590:Round Ligaments,0.4999404265459311,0.4999404265459311,1,1.0,D000069590,False
D000069594:Abatacept,0.22998063962652893,0.21808422517477882,7,3.0,D000069594,False
D000069604:Dabigatran,0.6363478810712253,0.6993714852795236,7,5.0,D000069604,False
D000069616:Simeprevir,0.32071034991050434,0.32071034991050434,3,3.0,D000069616,False
"D000069796:Adipose Tissue, Beige",0.6832479447158346,0.6832479447158346,3,3.0,D000069796,False
"D000069797:Adipocytes, Beige",0.789795346540758,0.789795346540758,9,9.0,D000069797,False
D000069816:SEC Translocation Channels,0.8189762111735623,0.7661151777711384,21,8.0,D000069816,False
D000069896:Transcription Activator-Like Effector Nucleases,0.8610298718690059,0.8610298718690059,13,13.0,D000069896,False
D000069916:Endoscopic Mucosal Resection,0.4211911697609939,0.4211911697609939,3,3.0,D000069916,False
D000069985:Bifidobacterium bifidum,0.28574096205557215,0.28574096205557215,1,1.0,D000069985,False
D000070016:Pediococcus acidilactici,0.8234838555939473,0.8234838555939473,1,1.0,D000070016,False
D000070037:Faecalibacterium prausnitzii,0.7662139084157433,0.7662139084157433,2,2.0,D000070037,False
D000070077:Bacteroides thetaiotaomicron,0.34161404344890584,0.34161404344890584,1,1.0,D000070077,False
D000070136:Lipid Droplet Associated Proteins,0.8210127556327831,0.8210127556327831,2,2.0,D000070136,False
D000070137:Perilipins,0.024518225276366896,0.024518225276366896,1,1.0,D000070137,False
D000070156:Nogo Receptors,0.2962587870844752,0.5985584105168807,4,3.0,D000070156,False
D000070356:Pilots,0.03147464156638469,,1,,D000070356,False
D000070379:Attentional Bias,0.10274453374513039,0.10274453374513039,1,1.0,D000070379,False
D000070416:Antagomirs,0.7371619206481592,0.7371619206481592,290,260.0,D000070416,False
D000070436:Tannerella forsythia,0.3554557259677816,0.3554557259677816,3,3.0,D000070436,False
D000070437:Colchicaceae,0.3264677322975799,0.3264677322975799,1,1.0,D000070437,False
D000070497:Healthy Lifestyle,0.30584248550514365,0.30584248550514365,6,6.0,D000070497,False
D000070516:Intersectoral Collaboration,0.24841189063980626,0.24841189063980626,1,1.0,D000070516,False
D000070538:C2 Domains,0.5759262025694651,0.5759262025694651,4,4.0,D000070538,False
D000070539:Pleckstrin Homology Domains,0.6030779489699224,0.6030779489699224,11,11.0,D000070539,False
D000070557:Immunoglobulin Domains,0.24187705407827906,0.24187705407827906,9,9.0,D000070557,False
D000070576:NLR Proteins,0.5282197452496474,0.5240513893038542,7,4.0,D000070576,False
D000070579:Parkinson Disease Associated Proteins,0.21042010318323798,0.21042010318323798,1,1.0,D000070579,False
D000070580:CYS2-HIS2 Zinc Fingers,0.3566001764088576,0.3566001764088576,2,2.0,D000070580,False
D000070584:Tripartite Motif Proteins,0.7439117325469666,0.7371619206481592,234,100.0,D000070584,False
D000070585:Cadherin Related Proteins,0.9650089495665602,0.9650089495665602,1,1.0,D000070585,False
D000070590:Solute Carrier Proteins,0.3453227479386226,0.3453227479386226,4,4.0,D000070590,False
D000070593:Methyl CpG Binding Domain,0.21042010318323798,0.21042010318323798,1,1.0,D000070593,False
D000070598:Anterior Cruciate Ligament Injuries,0.21808422517477882,0.39700521387212195,5,4.0,D000070598,True
D000070600:Tibial Meniscus Injuries,0.4154539749580475,0.4154539749580475,2,2.0,D000070600,True
"D000070601:Diet, Carbohydrate Loading",0.7409433821332536,0.7409433821332536,3,3.0,D000070601,False
D000070614:Nucleus Pulposus,0.6928192889481627,0.6982901798408552,62,55.0,D000070614,False
D000070616:Annulus Fibrosus,0.3264677322975799,0.3264677322975799,4,4.0,D000070616,False
"D000070625:Brain Injuries, Diffuse",0.561757814051392,0.561757814051392,1,1.0,D000070625,True
D000070627:Chronic Traumatic Encephalopathy,0.7037610707335478,0.7037610707335478,3,3.0,D000070627,True
D000070636:Rotator Cuff Injuries,0.7637255226798317,0.7637255226798317,7,7.0,D000070636,True
"D000070642:Brain Injuries, Traumatic",0.6928192889481627,0.6601972414277191,47,40.0,D000070642,True
D000070696:Buttermilk,0.32071034991050434,0.32071034991050434,1,1.0,D000070696,False
D000070777:School Teachers,0.08386241410218105,0.08386241410218105,1,1.0,D000070777,False
D000070778:Perilipin-1,0.5340960937774191,0.4094777664689573,22,9.0,D000070778,False
D000070779:Giant Cell Tumor of Tendon Sheath,0.42029621310497317,0.42029621310497317,2,2.0,D000070779,True
D000070780:Perilipin-2,0.5758795316232705,0.6051438967912669,26,9.0,D000070780,False
D000070796:Perilipin-3,0.2352142076140618,0.1198274574245593,8,2.0,D000070796,False
D000070797:Perilipin-5,0.7037610707335478,0.7037610707335478,6,3.0,D000070797,False
D000070798:Nogo Proteins,0.3297554796832076,0.42416634771319195,28,9.0,D000070798,False
D000070816:Nogo Receptor 1,0.31223949718822364,0.31223949718822364,9,3.0,D000070816,False
D000070818:Discoidin Domain Receptors,0.5325504465762487,0.6849230628203553,29,9.0,D000070818,False
D000070819:Discoidin Domain Receptor 1,0.6928192889481627,0.7269009560800717,30,20.0,D000070819,False
D000070820:Discoidin Domain Receptor 2,0.5547276426015286,0.6091607169965092,17,8.0,D000070820,False
D000070837:Lysine Acetyltransferases,0.9700742682394059,0.9700742682394059,1,1.0,D000070837,False
D000070857:Walk Test,0.5340960937774191,0.5340960937774191,8,8.0,D000070857,False
D000070876:Tensins,0.363273080370481,0.5471663328141405,27,14.0,D000070876,False
